model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.026905030012130737,4096,4096,1.4273176193237305,2.4768067259146385,0.5927727222442627,2.9744980335235596,2.4509182761083634,1.7352877119867411,model.layers.0.self_attn.q_proj,2059,282.4348449707031,2107,54.36103439331055,5.195538461009463,54.36103439331055,1.0011206541093998e-05,16777216
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.024370670318603516,1024,4096,1.4536941051483154,1.6515948645421201,0.587570309638977,2.142287492752075,1.8891280881956276,1.1361364531182532,model.layers.0.self_attn.k_proj,967,77.46902465820312,967,13.681586265563965,5.662283828388359,13.681586265563965,1.0212342203885783e-05,4194304
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.04027092456817627,1024,4096,4.341218948364258,-2.959586270959271,0.9655526280403137,-2.5644783973693848,1.2210856985584924,-0.6817408442562942,model.layers.0.self_attn.v_proj,1024,16.637409210205078,1024,0.2080938071012497,79.95148650488197,0.2080938071012497,0.0005015786737203598,4194304
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.037872374057769775,4096,4096,3.4207918643951416,-0.3123934333743946,1.08662748336792,0.14631743729114532,1.8268436227640745,-0.09132196455034293,model.layers.0.self_attn.o_proj,3939,67.11871337890625,3939,0.8103600740432739,82.82579007627916,0.8103600740432739,1.0147371540369932e-05,16777216
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.02000674605369568,14336,4096,2.3822665214538574,1.419996773194675,1.1347469091415405,2.6207098960876465,2.782790288549858,0.5960696506485239,model.layers.0.mlp.gate_proj,4096,606.4434204101562,4096,3.9452056884765625,153.7165532792116,3.9452056884765625,0.00031588319689035416,58720256
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.047316282987594604,14336,4096,3.2411398887634277,0.6498590153666657,1.1636416912078857,1.9385102987289429,2.7325547859424097,0.20050322962598274,model.layers.0.mlp.up_proj,4096,540.2002563476562,4096,1.586730718612671,340.4486029110034,1.586730718612671,0.0003602610668167472,58720256
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.03172685205936432,4096,14336,4.069880962371826,0.8853053596124085,1.1869902610778809,1.4577900171279907,2.7074081139141857,0.21752610648751614,model.layers.0.mlp.down_proj,4096,509.8097229003906,4096,1.6501601934432983,308.94559505559204,1.6501601934432983,0.010054838843643665,58720256
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.05302149057388306,4096,4096,2.967348575592041,2.692615075033526,0.9462206959724426,3.148683547973633,2.433101611247227,0.9074144834825479,model.layers.1.self_attn.q_proj,3082,271.08258056640625,3082,8.080058097839355,33.549583095064,8.080058097839355,1.0140037375094835e-05,16777216
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.03873056173324585,1024,4096,2.9610445499420166,1.7620878738094676,0.8384581804275513,2.188582420349121,2.002324713502752,0.5950899569693988,model.layers.1.self_attn.k_proj,968,100.5367202758789,968,3.9363160133361816,25.540815304274847,3.9363160133361816,1.0514927453186829e-05,4194304
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.11209303140640259,1024,4096,4.4951372146606445,-4.63460337493555,1.0130361318588257,-3.0726919174194336,1.403336087756753,-1.0310260073530224,model.layers.1.self_attn.v_proj,1024,25.31256103515625,1024,0.09310521185398102,271.8705057548712,0.09310521185398102,0.0021361035760492086,4194304
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.02440190315246582,4096,4096,3.616533041000366,0.056354023172058114,1.1382102966308594,0.17727649211883545,2.0155599463225,0.015582333282504747,model.layers.1.self_attn.o_proj,4021,103.64776611328125,4021,1.0365310907363892,99.99484534481849,1.0365310907363892,1.0334888429497369e-05,16777216
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.01949375867843628,14336,4096,2.6919634342193604,2.033565832262568,1.158989429473877,2.4843192100524902,2.7773600402726335,0.7554210456251162,model.layers.1.mlp.gate_proj,4096,598.9078979492188,4096,5.694046974182129,105.18141151008744,5.694046974182129,0.0004721218429040164,58720256
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.058220356702804565,14336,4096,3.4039480686187744,0.0998710411914075,1.1784957647323608,1.528364896774292,2.7244190850621344,0.029339766405993478,model.layers.1.mlp.up_proj,4096,530.1748046875,4096,1.0698915719985962,495.540687078331,1.0698915719985962,0.00042477872921153903,58720256
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.023555517196655273,4096,14336,5.255195140838623,0.17663046574348407,1.1942805051803589,0.5754297971725464,2.7138411993235954,0.03361063880784785,model.layers.1.mlp.down_proj,4096,517.4176025390625,4096,1.0804648399353027,478.884257418358,1.0804648399353027,0.008389479480683804,58720256
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.026526063680648804,4096,4096,3.8484511375427246,1.9218499697995115,1.1158682107925415,2.097428798675537,2.498086783531296,0.49938271297024506,model.layers.2.self_attn.q_proj,3999,314.8377380371094,3999,3.1577861309051514,99.70204598588947,3.1577861309051514,1.012863594951341e-05,16777216
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.032288938760757446,1024,4096,5.749108791351318,1.1527923503986548,0.9880064725875854,1.1909312009811401,2.1120370769896257,0.20051670480350972,model.layers.2.self_attn.k_proj,1024,129.43063354492188,1024,1.5867799520492554,81.56810487665162,1.5867799520492554,1.0304896932211705e-05,4194304
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.07961779832839966,1024,4096,8.804708480834961,-9.931645119764863,1.0209133625030518,-9.011774063110352,1.3359202225486382,-1.1279924987162133,model.layers.2.self_attn.v_proj,1024,21.673059463500977,1024,0.07447448372840881,291.01322195851134,0.07447448372840881,0.002336299978196621,4194304
Balaaditya/TAVGEN-mistral-7b-adapter,True,mistralai/Mistral-7B-v0.1,0.01897817850112915,4096,4096,4.071628093719482,-0.23441946870217653,1.1367825269699097,-0.1589186042547226,1.9571319572402928,-0.057573890175227536,model.layers.2.self_attn.o_proj,4015,90.60078430175781,4015,0.8758426904678345,103.44412905171713,0.8758426904678345,1.0237075912300497e-05,16777216
