model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params,eigs
rufjdk5480/llama-7b-ludwig-alpaca,True,0.01978093385696411,4096,4096,1.5507113933563232,4.1523451590807365,0.7729089260101318,4.578274250030518,3.4864923275399957,2.6777033926948186,model.layers.0.self_attn.q_proj,3028,3065.4365234375,3657,476.105712890625,6.438562782256969,476.105712890625,1.0022513379226439e-05,16777216,"[1.0022513e-05 1.0117811e-05 1.0171660e-05 ... 1.7234509e+02 2.1350516e+02
 4.7610571e+02]"
rufjdk5480/llama-7b-ludwig-alpaca,True,0.031381189823150635,4096,4096,1.4587657451629639,3.7035928361022497,0.7972421646118164,4.448308944702148,3.582919465438083,2.538853718208545,model.layers.0.self_attn.k_proj,3108,3827.53759765625,3639,345.8228759765625,11.067913268744125,345.8228759765625,1.000964857666986e-05,16777216,"[1.0009649e-05 1.0043198e-05 1.0116978e-05 ... 1.9600502e+02 2.7805624e+02
 3.4582288e+02]"
rufjdk5480/llama-7b-ludwig-alpaca,True,0.07156828045845032,4096,4096,3.7103967666625977,4.495193714779916,1.0862230062484741,5.325881481170654,3.312441005265608,1.2115129452377196,model.layers.0.self_attn.v_proj,4067,2053.24609375,4067,16.27469825744629,126.16185328109309,16.27469825744629,1.0251505955238827e-05,16777216,"[1.0251506e-05 1.1079953e-05 1.1569868e-05 ... 1.3353628e+01 1.3733714e+01
 1.6274698e+01]"
rufjdk5480/llama-7b-ludwig-alpaca,True,0.053305625915527344,4096,4096,2.2252120971679688,2.857635634018055,1.0779424905776978,3.3629605770111084,2.9373824268974174,1.2842082054357753,model.layers.0.self_attn.o_proj,4056,865.7299194335938,4056,19.24013900756836,44.99603246593217,19.24013900756836,1.0358910003560595e-05,16777216,"[1.0358910e-05 1.0578671e-05 1.1094450e-05 ... 6.2937403e+00 7.1858373e+00
 1.9240139e+01]"
rufjdk5480/llama-7b-ludwig-alpaca,True,0.013283967971801758,11008,4096,2.6921119689941406,5.765497389982672,1.1414833068847656,6.413748264312744,4.08407731512068,2.141626149426781,model.layers.0.mlp.gate_proj,4096,12136.048828125,4096,138.55625915527344,87.58932221549591,138.55625915527344,0.033372100442647934,45088768,"[3.3372100e-02 4.6966415e-02 4.9942784e-02 ... 1.0373919e+02 1.2652255e+02
 1.3855626e+02]"
rufjdk5480/llama-7b-ludwig-alpaca,True,0.026959240436553955,11008,4096,2.9721016883850098,6.090602249163816,1.1515575647354126,6.692113876342773,4.069334962483104,2.049257692953752,model.layers.0.mlp.up_proj,4096,11730.998046875,4096,112.0102310180664,104.73148693875007,112.0102310180664,0.024588488042354584,45088768,"[2.4588488e-02 3.8913622e-02 4.2748354e-02 ... 8.8562904e+01 1.0150475e+02
 1.1201023e+02]"
rufjdk5480/llama-7b-ludwig-alpaca,True,0.017658233642578125,4096,11008,4.226233959197998,8.023322902442493,1.1771854162216187,8.107171058654785,4.105529943122767,1.8984568719818482,model.layers.0.mlp.down_proj,4096,12750.580078125,4096,79.15108489990234,161.09166531639963,79.15108489990234,0.15584605932235718,45088768,"[ 0.15584606  0.21628764  0.2318875  ... 32.28212    37.808914
 79.151085  ]"
rufjdk5480/llama-7b-ludwig-alpaca,True,0.033048033714294434,4096,4096,2.9074320793151855,7.357861745540573,0.9897882342338562,7.770648002624512,4.070278625391512,2.530708042291959,model.layers.1.self_attn.q_proj,3859,11756.515625,3984,339.39703369140625,34.63941772599435,339.39703369140625,1.003925808618078e-05,16777216,"[1.00392581e-05 1.02949925e-05 1.05097870e-05 ... 2.06130600e+02
 2.25389557e+02 3.39397034e+02]"
rufjdk5480/llama-7b-ludwig-alpaca,True,0.032321639358997345,4096,4096,3.0836503505706787,8.04364158315179,0.9866587519645691,8.303677558898926,4.068481192332747,2.6084804269923745,model.layers.1.self_attn.k_proj,3808,11707.958984375,3970,405.9573669433594,28.84036585548289,405.9573669433594,1.0059031410492025e-05,16777216,"[1.0059031e-05 1.0603421e-05 1.0654924e-05 ... 1.9560814e+02 2.6500183e+02
 4.0595737e+02]"
rufjdk5480/llama-7b-ludwig-alpaca,True,0.023065656423568726,4096,4096,4.207089424133301,4.320155750706989,1.1250855922698975,4.7975239753723145,3.229147557880202,1.0268751897511617,model.layers.1.self_attn.v_proj,4072,1694.91357421875,4072,10.638372421264648,159.32075952058702,10.638372421264648,1.0976582416333258e-05,16777216,"[1.0976582e-05 1.2564621e-05 1.2932524e-05 ... 7.3802042e+00 9.3282423e+00
 1.0638372e+01]"
