model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params,eigs
MayaPH/opt-flan-iml-6.7b,False,0.0359874963760376,4096,4096,3.9147956371307373,5.832247578209353,1.1375646591186523,5.8384013175964355,3.077248462136936,1.4897961780921902,model.decoder.layers.0.self_attn.k_proj,4076,1194.67138671875,4076,30.88845443725586,38.676955790892755,30.88845443725586,1.0523873243073467e-05,16781312,"[1.0523873e-05 1.1764878e-05 1.3472698e-05 ... 6.7186852e+00 9.1147671e+00
 3.0888454e+01]"
MayaPH/opt-flan-iml-6.7b,False,0.034133195877075195,4096,4096,4.477150917053223,1.8898799653307918,1.144392728805542,2.3299074172973633,2.742864259999306,0.42211665417226446,model.decoder.layers.0.self_attn.v_proj,4067,553.1771850585938,4067,2.6431186199188232,209.2895796994473,2.6431186199188232,1.1779334272432607e-05,16781312,"[1.1779334e-05 1.2422261e-05 1.2516475e-05 ... 1.5967913e+00 1.9507573e+00
 2.6431186e+00]"
MayaPH/opt-flan-iml-6.7b,False,0.025816917419433594,4096,4096,3.313262701034546,3.816368277802014,1.140756368637085,4.033733367919922,3.1043076502891918,1.151845966397526,model.decoder.layers.0.self_attn.q_proj,4078,1271.4744873046875,4078,14.185543060302734,89.63171038991248,14.185543060302734,1.0666507478163112e-05,16781312,"[1.06665075e-05 1.14367358e-05 1.27734611e-05 ... 5.28026867e+00
 8.67401600e+00 1.41855431e+01]"
MayaPH/opt-flan-iml-6.7b,False,0.08039975166320801,4096,4096,3.674511432647705,8.272305501871811,0.8588861227035522,8.287216186523438,2.7875718079160636,2.2512667747807553,model.decoder.layers.0.self_attn.out_proj,4029,613.1571655273438,4062,178.34739685058594,3.4379933565334193,178.34739685058594,1.0492542060092092e-05,16781312,"[1.0492542e-05 1.1428796e-05 1.1897234e-05 ... 4.9569683e+01 6.5967239e+01
 1.7834740e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.05242729187011719,16384,4096,2.2923026084899902,5.5376029139792236,1.1519337892532349,5.830479145050049,4.169404557540459,2.4157381723816176,model.decoder.layers.0.fc1,4096,14770.818359375,4096,260.4582824707031,56.710879835570026,260.4582824707031,0.06480660289525986,67125248,"[6.4806603e-02 7.3295869e-02 9.5731616e-02 ... 4.5576939e+01 7.9129448e+01
 2.6045828e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.06277573108673096,4096,16384,4.697432518005371,10.812369050226298,1.1777352094650269,10.813880920410156,4.063934768761114,2.3017614428269546,model.decoder.layers.0.fc2,4096,11586.033203125,4096,200.33712768554688,57.83268102610849,200.33712768554688,0.1935712844133377,67112960,"[1.9357128e-01 4.1742292e-01 4.2078725e-01 ... 4.2339806e+01 5.4558113e+01
 2.0033713e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.024813920259475708,4096,4096,1.9471666812896729,4.639347090432589,0.8583090901374817,5.110683441162109,3.4136128663688363,2.382614254348167,model.decoder.layers.1.self_attn.k_proj,4001,2591.867919921875,4056,241.33163452148438,10.739859799404524,241.33163452148438,1.0425424079585355e-05,16781312,"[1.04254241e-05 1.05304725e-05 1.10762485e-05 ... 1.50756653e+02
 1.64949570e+02 2.41331635e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.038900554180145264,4096,4096,3.3384032249450684,3.0101023918334042,1.148153305053711,3.391223907470703,3.01570267882808,0.9016593230384666,model.decoder.layers.1.self_attn.v_proj,4074,1036.818359375,4074,7.973689556121826,130.0299380954679,7.973689556121826,1.0971756637445651e-05,16781312,"[1.0971757e-05 1.1866265e-05 1.3434323e-05 ... 4.9054232e+00 5.7000732e+00
 7.9736896e+00]"
MayaPH/opt-flan-iml-6.7b,False,0.01800704002380371,4096,4096,1.997659683227539,5.039488130205751,0.849624514579773,5.346128940582275,3.425112686330424,2.5226960190054246,model.decoder.layers.1.self_attn.q_proj,3986,2661.41552734375,4056,333.193115234375,7.987606603070579,333.193115234375,1.0596799256745726e-05,16781312,"[1.0596799e-05 1.0815611e-05 1.1300196e-05 ... 1.2481936e+02 2.1029616e+02
 3.3319312e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.0705307126045227,4096,4096,3.1674742698669434,7.053676565713906,0.8844170570373535,7.126898288726807,2.8853922820826456,2.22690887588811,model.decoder.layers.1.self_attn.out_proj,4028,768.054931640625,4061,168.6199188232422,4.554947819929552,168.6199188232422,1.0375597412348725e-05,16781312,"[1.0375597e-05 1.0680189e-05 1.1639937e-05 ... 5.9346680e+01 9.0901367e+01
 1.6861992e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.04052615165710449,16384,4096,2.235231637954712,5.447780799461081,1.1305075883865356,5.9349517822265625,4.215319528023216,2.437233218677025,model.decoder.layers.1.fc1,4096,16417.97265625,4096,273.6737976074219,59.99102873487789,273.6737976074219,0.11899925768375397,67125248,"[1.1899926e-01 1.3761258e-01 1.4801335e-01 ... 7.0435333e+01 8.1858749e+01
 2.7367380e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.027694880962371826,4096,16384,4.43800687789917,11.444886680765435,1.173938274383545,11.445082664489746,4.160018976218248,2.578834822848028,model.decoder.layers.1.fc2,4096,14455.029296875,4096,379.1707458496094,38.12274405422696,379.1707458496094,0.17406287789344788,67112960,"[1.7406288e-01 4.4579113e-01 4.4822058e-01 ... 4.4308529e+01 5.9386871e+01
 3.7917075e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.032029688358306885,4096,4096,2.2040932178497314,5.3759645360286115,0.8742517828941345,5.740391254425049,3.489884630347282,2.439082200558329,model.decoder.layers.2.self_attn.k_proj,3992,3089.474609375,4055,274.8414306640625,11.240934825256574,274.8414306640625,1.0684781045711134e-05,16781312,"[1.0684781e-05 1.1094109e-05 1.1298737e-05 ... 1.4681151e+02 1.6848232e+02
 2.7484143e+02]"
